Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,CO2_Emissions_MT_Log,Total_Precipitation_mm_Log,Economic_Impact_Million_USD_Log,Temp_Precip_Ratio,Yield_Temp_Ratio,CO2_Temp_Ratio,EconomicImpact_per_CO2,Temp_Squared,Soil_Health_Squared,Climate_Efficiency,Yield_per_CO2,Weather_Region_Norm,Temperature_Binned,Precipitation_Binned,Climate_Zone,Country_Encoded,Region_Encoded,Crop_Type_Encoded,Adaptation_Strategies_Encoded,Temperature_Binned_Encoded,Precipitation_Binned_Encoded,Climate_Zone_Encoded,Cluster
2001,India,West Bengal,Corn,1.55,447.06,15.22,1.737,8,14.54,10.08,14.78,83.25,Water Management,808.13,2.7862450486872667,6.104927152018783,6.695959596361489,0.25389328347471674,1.1206451612903225,1.7975774507659785,2.4032199176150266,2.4025000000000003,6930.5625,2.5066996852554975,0.6234196812008276,1.3622448979591837,Very Cold,Very Dry,Very Cold-Very Dry,6,32,2,4,5,3,33,0
2024,China,North,Corn,3.23,2913.57,29.73,1.737,8,11.05,33.06,23.25,54.02,Crop Rotation,616.22,3.425239376142393,7.977477575039006,6.425225524370994,0.40488988776432966,0.5377708978328174,1.0613510309263066,1.8742469272751965,10.4329,2918.1604,0.18457455898873798,0.5066852362346805,1.3282636248415716,Very Cold,Extremely Wet,Very Cold-Extremely Wet,4,8,2,0,5,1,31,0
2001,France,Ile-de-France,Wheat,21.11,1301.74,25.75,1.719,5,84.42,27.41,65.53,67.78,Water Management,796.96,3.2865344733420154,7.17222501769001,6.68205847088021,2.943298620432713,0.0814306016106111,0.15568614274476625,2.0331624466684355,445.6321,4594.1284000000005,0.06255519659118648,0.5230433497482779,0.8333333333333334,Moderate,Wet,Moderate-Wet,5,4,9,4,4,5,29,0
2001,Canada,Prairies,Coffee,27.85,1154.36,13.91,3.89,5,94.06,14.38,87.58,91.39,No Adaptation,790.32,2.702032128776647,7.052167262702872,6.673702437159891,3.949140592182435,0.13967684021543986,0.09702090229000528,2.4698827101591236,775.6225000000001,8352.1321,0.12099937646439572,1.4396571967340777,0.800395256916996,Very Hot,Wet,Very Hot-Wet,3,18,1,2,6,5,41,0
1998,India,Tamil Nadu,Sugarcane,2.19,1627.48,11.81,1.08,9,95.75,44.35,88.08,49.61,Crop Rotation,401.72,2.550226115908643,7.395402343400468,5.998241531387006,0.2961299329379042,0.4931506849315069,1.1644868109171886,2.3520430184481262,4.7961,2461.1521,0.3030148972223971,0.4234918595111309,1.526566757493188,Very Cold,Very Wet,Very Cold-Very Wet,6,28,7,0,5,4,34,0
2019,USA,Midwest,Coffee,17.19,975.13,10.73,2.18,5,52.45,26.06,71.56,97.32,Water Management,353.16,2.462149662665384,6.883595774264508,5.869748788423886,2.4972413493929633,0.12681791739383363,0.14323151033539172,2.383993498620075,295.49610000000007,9471.182399999998,0.13005231855632954,0.8854051534950379,0.7940991839296925,Cool,Moderate,Cool-Moderate,9,6,1,4,1,2,8,0
1997,Argentina,Northeast,Fruits,23.46,1816.41,27.7,1.611,2,20.22,0.56,28.72,79.09,Organic Farming,480.61,3.3568971227655755,7.505167689612126,6.177134657898641,3.1258462129328435,0.0686700767263427,0.14309024393715156,1.8401322507046676,550.3716000000001,6255.2281,0.03780538354575382,0.4799074684400157,0.3290308466418727,Warm,Extremely Wet,Warm-Extremely Wet,0,11,4,3,7,1,43,0
2021,Australia,New South Wales,Rice,25.63,786.17,7.77,3.27,4,66.53,13.44,40.5,63.16,Drought-resistant Crops,1367.97,2.1713368063840917,6.668444235255751,7.2218139112426405,3.8434751938833642,0.1275848614904409,0.0847185644316852,3.325975910328285,656.8969,3989.1856,0.16228660657420266,1.505984695872909,0.6857142857142857,Hot,Dry,Hot-Dry,1,7,5,1,2,0,12,0
2012,India,Punjab,Wheat,32.08,1233.1,6.1,2.99,1,45.87,10.09,32.54,42.31,Water Management,761.89,1.9600947840472698,7.118097238459137,6.6371138531324405,4.506822388807994,0.09320448877805487,0.06110021147279519,3.386118828104784,1029.1263999999999,1790.1361000000002,0.07558550707814035,1.525436435184092,0.17832817337461299,Very Hot,Wet,Very Hot-Wet,6,20,9,4,6,5,41,0
2018,Nigeria,North West,Barley,21.23,475.32,25.74,0.765,1,25.74,44.38,72.92,84.21,No Adaptation,167.21,3.286160571673797,6.166089897267466,5.125213198803691,3.4430247294007477,0.03603391427225624,0.1547885337575976,1.559635655963451,450.7129,7091.324099999999,0.07580980028666212,0.23279446737757836,0.16127061698228465,Moderate,Very Dry,Moderate-Very Dry,7,10,0,2,4,3,27,0
